Est,SE,SE.B,Est.Numer.1,Est.Numer.0,Est.Denom,Est.True,SE.True,SE.B.True,Est.Numer.1.True,Est.Numer.0.True,Est.Denom.True,SE.h11.PMMR,SE.q11.PMMR,SE.h11.True,SE.q11.True
1.479010804,0.465062289,0.465723981,2.571507996,1.536200433,0.7,1.915748635,0.248042301,0.24735374,2.877224477,1.536200433,0.7,2.278578427,6.947582585,2.022711374,0.053296632
2.024326044,0.487232023,0.488242515,2.469094689,1.214012541,0.62,1.691038043,0.260719958,0.260753175,2.262456128,1.214012541,0.62,0.869614855,6.623279373,1.919456261,0.049540114
2.489946206,0.348696352,0.349315933,2.799521203,1.268204287,0.615,2.078270906,0.301760756,0.304198501,2.546340894,1.268204287,0.615,1.088255091,5.366712698,2.101248414,0.051757164
2.067864111,0.666159882,0.664152221,2.0984073,1.064475245,0.5,2.707432931,0.381046507,0.383174136,2.418191711,1.064475245,0.5,1.250207316,5.947595309,1.956285782,0.048785457
2.976408455,0.504415794,0.509683907,2.783648945,1.101978167,0.565,2.225801368,0.306906898,0.304349983,2.35955594,1.101978167,0.565,0.974479034,3.968686108,1.996065394,0.052143696
2.598742517,0.549773657,0.545482027,2.884065191,1.337813393,0.595,1.880416854,0.298350949,0.299322259,2.456661421,1.337813393,0.595,1.259656057,6.22772322,2.019935553,0.050369115
2.024745285,0.445854474,0.441331667,2.576110119,1.361262948,0.6,2.229350299,0.304820096,0.30705026,2.698873127,1.361262948,0.6,1.056759783,5.853415543,2.048240785,0.047811792
2.075528515,0.256840282,0.255463586,2.651545422,1.260941317,0.67,1.817156131,0.255166141,0.254486607,2.478435925,1.260941317,0.67,1.27277495,0.508102898,1.978034089,0.050893531
2.287271099,0.425402091,0.430329366,2.806793148,1.342939645,0.64,2.197090398,0.280442,0.282633972,2.7490775,1.342939645,0.64,0.965623275,4.883709063,2.065170959,0.048703977
2.049874198,0.330810789,0.330764077,2.696182245,1.384262759,0.64,1.964841111,0.275595238,0.274239169,2.64176107,1.384262759,0.64,1.125362831,3.773080651,2.033541848,0.051043838
2.579628019,0.578770638,0.579070072,2.912736499,1.326265268,0.615,1.779582351,0.281134141,0.283796009,2.420708414,1.326265268,0.615,1.578916669,6.922693504,2.00296612,0.054576811
1.842523652,0.397841548,0.400563546,2.199821273,1.149582792,0.57,2.10459553,0.31004954,0.311391524,2.349202244,1.149582792,0.57,0.795345813,6.335078988,2.034799196,0.049710941
1.868055555,0.358399927,0.35410105,2.748912068,1.469294013,0.685,1.806736913,0.25308285,0.253075704,2.706908798,1.469294013,0.685,1.110597455,5.247858911,2.087517042,0.052003484
1.611446766,0.461273355,0.458471851,2.080577988,1.178167799,0.56,2.063114395,0.308011772,0.308932763,2.33351186,1.178167799,0.56,1.188548935,5.911111213,1.991794755,0.048811862
1.355689008,0.371798355,0.374355356,2.06211076,1.248697355,0.6,1.962630332,0.294547381,0.294886945,2.426275554,1.248697355,0.6,1.238146249,4.191571504,2.032406366,0.053066607
1.655923643,0.492581951,0.4888518,2.418460619,1.383508342,0.625,1.665605395,0.264957757,0.266291508,2.424511714,1.383508342,0.625,1.256996036,7.021898774,2.050106341,0.05020708
2.738826269,0.548031519,0.542966928,2.375266847,1.005853712,0.5,2.507111587,0.35161297,0.350744919,2.259409506,1.005853712,0.5,0.862868834,5.115355149,1.927468741,0.048580955
